Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Bracelet design (product.metafields.shopify.bracelet-design),Color (product.metafields.shopify.color-pattern),Earring design (product.metafields.shopify.earring-design),Jewelry material (product.metafields.shopify.jewelry-material),Jewelry type (product.metafields.shopify.jewelry-type),Ring design (product.metafields.shopify.ring-design),Ring size (product.metafields.shopify.ring-size),Stone shape (product.metafields.shopify.stone-shape),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
untitled-dec12_02-23,Untitled Dec12_02:23,,Surat Diamond,,"","",false,Title,Default Title,,,,,,,,,0.0,shopify,0,deny,manual,0.00,,true,true,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,draft
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,"12 Carat Multi-Shape Diamond Bracelet in 14K Gold – Round, Emerald & Princess Cut | White, Yellow & Rose Gold Fine Jewelry","<p data-start=""324"" data-end=""479"">Indulge in exceptional brilliance with this masterpiece diamond bracelet, designed to showcase the beauty of diverse diamond cuts in one striking creation.</p>
<p data-start=""481"" data-end=""884"">This elegant bracelet features a total diamond weight of <strong data-start=""538"" data-end=""554"">12.00 carats</strong>, artistically combining <strong data-start=""579"" data-end=""615"">three distinctive diamond shapes</strong> for a sophisticated, high-end look. It includes <strong data-start=""664"" data-end=""699"">120 round diamonds (0.60 carat)</strong> for delicate sparkle, <strong data-start=""722"" data-end=""762"">5 emerald-cut diamonds (2.79 carats)</strong> for clean, structured brilliance, and <strong data-start=""801"" data-end=""842"">6 princess-cut diamonds (8.65 carats)</strong> that deliver bold, contemporary radiance.</p>
<p data-start=""886"" data-end=""1159"">Crafted in premium <strong data-start=""905"" data-end=""952"">14K gold with a total weight of 14.10 grams</strong>, this bracelet offers durability with a refined, luxurious finish. Available in <strong data-start=""1033"" data-end=""1075"">White Gold, Yellow Gold, and Rose Gold</strong>, it allows you to select the perfect tone to match your personal style or occasion.</p>
<p data-start=""1161"" data-end=""1344"">The harmonious blend of cuts creates depth, contrast, and an eye-catching silhouette, making this bracelet an ideal choice for those who desire statement elegance with timeless charm.</p>
<h2 data-start=""1351"" data-end=""1374"">✨ Key Specifications</h2>
<p data-start=""1378"" data-end=""1415"">Total Diamond Weight: <strong data-start=""1400"" data-end=""1415"">12.00 Carat</strong></p>
<p data-start=""1418"" data-end=""1463"">Diamond Shapes: <strong data-start=""1434"" data-end=""1463"">Round, Emerald &amp; Princess</strong></p>
<p data-start=""1466"" data-end=""1503"">Round Diamonds: <strong data-start=""1482"" data-end=""1503"">120 pcs – 0.60 ct</strong></p>
<p data-start=""1506"" data-end=""1543"">Emerald Diamonds: <strong data-start=""1524"" data-end=""1543"">5 pcs – 2.79 ct</strong></p>
<p data-start=""1546"" data-end=""1584"">Princess Diamonds: <strong data-start=""1565"" data-end=""1584"">6 pcs – 8.65 ct</strong></p>
<p data-start=""1587"" data-end=""1612"">Gold Weight: <strong data-start=""1600"" data-end=""1612"">14.10 gm</strong></p>
<p data-start=""1615"" data-end=""1635"">Gold Purity: <strong data-start=""1628"" data-end=""1635"">14K</strong></p>
<p data-start=""1638"" data-end=""1696"">Available Colors: <strong data-start=""1656"" data-end=""1696"">White Gold | Yellow Gold | Rose Gold</strong></p>
<p data-start=""1699"" data-end=""1732"">Finish: High-polish luxury finish</p>
<p data-start=""1735"" data-end=""1770"">Style: Designer / Statement Jewelry</p>",Surat Diamond,Apparel & Accessories > Jewelry > Bracelets,"","14k_bracelet, 18k_bracelet, Anniversary_Gift, Gift_for_her, white_gold_bracelet",true,Metal,rose-gold,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,10,deny,manual,7999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_W-_viwe1.png?v=1763829004,1,"",false,,,191,,adult,,,,,,,,,,,adults,beaded,rose-gold; yellow-gold; silver,,gold; diamond,fine-jewelry,,,,female,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_R-_viwe1.png?v=1763829004,g,,,active
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,,,,,,,,,yellow-gold,,,,,,,,,0.0,shopify,10,deny,manual,7999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_W-_viwe2.png?v=1763829004,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_Y-_viwe1.png?v=1763829004,g,,,
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,,,,,,,,,silver,,,,,,,,,0.0,shopify,10,deny,manual,7999.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_W-_viwe3.png?v=1763829004,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_W-_viwe1.png?v=1763829004,g,,,
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_W-_viwe4.png?v=1763829004,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_R-_viwe1.png?v=1763829004,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-carat-multi-shape-diamond-bracelet-in-14k-gold-round-emerald-princess-cut-white-yellow-rose-gold-fine-jewelry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0048-01_Y-_viwe1.png?v=1763829004,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,"Statement 256 Diamond Bracelet in 14K Gold with IGI Certification | Elegant Fine Jewelry in White, Rose & Yellow Gold","<p data-start=""315"" data-end=""468"">Make an unforgettable impression with this exquisitely designed diamond bracelet, created for those who appreciate fine craftsmanship and enduring style.</p>
<p data-start=""470"" data-end=""873"">Set with an impressive <strong data-start=""493"" data-end=""519"">256 round-cut diamonds</strong>, this bracelet delivers a radiant flow of sparkle that gracefully wraps around the wrist. The diamonds are precisely placed in rich <strong data-start=""652"" data-end=""664"">14K gold</strong>, offering a perfect combination of strength, shine, and luxury. With a total gold weight of <strong data-start=""757"" data-end=""769"">18 grams</strong>, it provides a solid yet comfortable feel, ideal for both special occasions and elevated everyday wear.</p>
<p data-start=""875"" data-end=""1112"">Choose from <strong data-start=""887"" data-end=""986"">White Gold for a modern glow, Yellow Gold for classic warmth, or Rose Gold for a romantic touch</strong>. Every bracelet is accompanied by an official <strong data-start=""1033"" data-end=""1052"">IGI Certificate</strong>, assuring you of genuine quality and verified authenticity.</p>
<p data-start=""1114"" data-end=""1208"">This piece is more than jewelry — it’s a signature of elegance, confidence, and refined taste.</p>
<h2 data-start=""1215"" data-end=""1239"">🧾 Product Highlights</h2>
<p data-start=""1243"" data-end=""1288"">Crafted with <strong data-start=""1256"" data-end=""1288"">256 round brilliant diamonds</strong></p>
<p data-start=""1291"" data-end=""1324"">Premium <strong data-start=""1299"" data-end=""1324"">14K gold construction</strong></p>
<p data-start=""1327"" data-end=""1355"">Total Gold Weight: <strong data-start=""1346"" data-end=""1355"">18 gm</strong></p>
<p data-start=""1358"" data-end=""1401"">Available in: <strong data-start=""1372"" data-end=""1401"">White, Yellow &amp; Rose Gold</strong></p>
<p data-start=""1404"" data-end=""1436"">Comes with <strong data-start=""1415"" data-end=""1436"">IGI Certification</strong></p>
<p data-start=""1439"" data-end=""1483"">Smooth, polished finish for a luxurious look</p>
<p data-start=""1486"" data-end=""1533"">Ideal choice for gifting or personal indulgence</p>",Surat Diamond,Apparel & Accessories > Jewelry > Bracelets,"","",true,Metal,rose-gold,product.metafields.shopify.color-pattern,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_W-_viwe1.png?v=1763826483,1,"",false,,,191,,adult,,,,,,,,,,,adults,bangle,rose-gold; yellow-gold; silver,,gold; diamond,fine-jewelry,,,,female,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_R-_viwe1.png?v=1763826483,g,,,active
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,,,,,,,,,yellow-gold,,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_W-_viwe2.png?v=1763826483,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_Y-_viwe1.png?v=1763826483,g,,,
statement-256-diamond-bracelet-in-14k-gold-with-igi-certification-elegant-fine-jewelry-in-white-rose-yellow-gold,,,,,,,,,silver,,,,,,,,,0.0,shopify,10,deny,manual,3899.00,,true,true,,,,,"",https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_W-_viwe3.png?v=1763826483,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0921/1261/7815/files/GLBR-0052-01_W-_viwe1.png?v=1763826483,g,,,
